"Parcel.number","Taxpayer.name","Parcel.address","Jurisdiction","Zip.code","Appraised.value","Assessor.s.report","SaleReason","SaleInstrument","PropertyClass","PrincipalUse","PropertyType","ExciseTaxNbr","Major","Minor","DocumentDate","SalePrice","RecordingNbr","Volume","Page","PlatNbr","PlatType","PlatLot","PlatBlock","SellerName","BuyerName","AFForestLand","AFCurrentUseLand","AFNonProfitUse","AFHistoricProperty","SaleWarning","PropertyTypeDecode","PrincipalUseDecode","PropertyClassDecode","SaleInstrumentDecode","SaleReasonDecode"
"0086000000",NA,"668 S LANE ST",NA,"98104",NA,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0524049001","KN HOLDING LLC","1300 S WELLER ST","SEATTLE","98144",3072900,"Report",18,3,2,7,3,2915591,"052404","9001",2018-02-20,8000000,20180220001552,NA,NA,NA," ","              ","       ","KOF ASSOCIATES LLC                                ","KN HOLDING LLC                                    ","N","N","N","N","15 44 45","Land With Prev Used Bldg","Commercial","C/I Improved property, no condo or mobile home","Statutory Warranty Deed","Other"
"0524049003","SEATTLE GOODWILL INDUSTRIES","#Error","SEATTLE",NA,5376800,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0524049008","SEATTLE GOODWILL INDUSTRIES","1325 S LANE ST","SEATTLE","98144",2433100,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0524049012","SEATTLE GOODWILL INDUSTRIES","#Error","SEATTLE",NA,6472500,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0524049015","SEATTLE GOODWILL IND","1350 S DEARBORN ST","SEATTLE","98144",10558300,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0524049016","SEATTLE GOODWILL IND","1319 S LANE ST","SEATTLE","98144",1383700,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0524049017","SEATTLE GOODWILL IND","#Error","SEATTLE",NA,2830200,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000030","ABCD TRUST","705 11TH AVE S","SEATTLE","98104",900000,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0609000035","ABCD TRUST","11TH AVE S","SEATTLE","98104",806200,"Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
